Name,Title,Artist,Sad/Happy
Stephanie,Distance,Cake,H
Stephanie,Let's Stay Together,Al Green,H
Stephanie,Blood on your bootheels,Caroline Rose,H
Stephanie,FM,Steely Dan,H
Stephanie,Valley of the silver moon ,Jonathon Wilson,S 
Stephanie,Beautiful Boyz,Coco Rosie,S
Stephanie,Dixon's Girl,Dessa,H
Stephanie,Heart of Gold,Neil Young,S
Stephanie ,At Last,Etta James,H
Stephanie,I say a little prayer,Aretha Franklin,H
Stephanie ,Stairway to heaven,Led Zeppelin ,S
Stephanie ,Smalltown Boy,Bronski beat,S
Stephanie ,Babe I’m gonna leave you ,Led Zeppelin ,S
Stephanie ,I ran ,Flock of seagulls,H
Stephanie ,Peace frogs,The doors,H
Stephanie ,Kissing my love,Bill Withers,H
Stephanie ,Take me to the river ,Al Green,H
Jeremy ,Dramamine,Modest Mouse,S
Jeremy ,I'm So Tired,Fugazi,S
Jeremy ,Girl ,Beck,H
Jeremy ,Next Girl,Black Keys,H
Jeremy ,Afterlife,Arcade Fire,S
Jeremy ,Superstar,Sonic Youth,S
Jeremy ,The Evil has Landed,Queens of the Stone Age,H
Jeremy ,Soma,The Strokes,S
Jeremy ,Phantom Limb,The Shins,H
Jeremy ,Toe Cutter-Thumb Buster,Thee Oh Sees,H
Jeremy ,Haunting at 1300 McKinley,The Black Angels,H
Jeremy ,Only Shallow,My Bloody Valentine,S
Jeremy ,My Hearts Not In It,Yo La Tengo,S
Jeremy ,The High Road,Broken Bells,H
Jeremy ,Get Innocuous,LCD Soundsystem,H
Jeremy ,Float On,Modest Mouse,S
Jeremy ,Misunderstood,Wilco,S
Jeremy ,Stange,Galaxie 500,S
Jeremy ,Ghost Ship,Blur,H
Jeremy ,"Alone, Together",The Strokes,H
Jeremy ,Seven Nation Army,The White Stripes,H
Jeremy ,Carry The Zero,Built to Spill,S
Jeremy ,Bridge Over Troubled Water,Simon & Garfunkel,S
Jeremy ,Lost Highway,Hank Williams,S
Jeremy ,Changes-Remasterd Verion,Black Sabbath,S
Julie,Autumn Sweater,Yo La Tengo,H
Julie,Let's Go Rain,Jeff Tweedy,H
Julie,Opposite House,Cass McCombs,S
Julie,Pretty Things,Big Thief ,S
Julie,The Way We Get By ,Spoon ,H
Julie,While I'm Alive,STRFKR,H
Julie,Holy Dances,Beach House,S
Julie,Off the Record,My Morning Jacket,H
Julie,Break-Thru,Dirty Projectors ,H
Julie,New Slang,The Shins,S
Julie,Absolute Loser,Fruit Bats,H
Julie,The World at Large ,Modest Mouse,S
Julie,Hot Stuff,Donna Summers,H
Julie,Mr. Big Stuff,Jean Knight,H
Julie,Easy ,Commodores,S
Julie,I'll Take You There,The Staple Singers,H
Julie,Best of My Love,The Emotions ,H
Julie,The Bleeding Heart Show,The New Pornographers,H
Julie,Losing All Sense,Grizzly Bear,S
Julie,On Repeat,LCD Soundsystem,H
Julie,Rebellion (Lies),Arcade Fire,H
Julie,Humiliation,The National,S
Julie,Wolf Like Me ,TV on the Radio,H
Julie,Blue Thunder ,Galaxie 500,S
Julie,Holding on for life,Broken Bells,H
Julie,"If You Need To, Keep Time on Me",Fleet Foxes,S
Julie,Middle America,Stephen Malmus & The Jicks,H
Julie,Where'd All The Time Go,Dr. Dog,S
Julie,Protest Song,Broken Social Scene,H
Julie,Painter in your Pocket,Destroyer,S
Julie,Ben Franklin's Song,The Decemberists,H
Julie,A-Punk,Vampire Weekend ,H
Julie,Oh No,Foxygen,S
Julie,The Rat,The Walkment,H
Julie,Mr. November ,The National,H
Julie,Orange Color Queen ,Ty Segall ,H
Julie,Your Type ,Alvvays,H
Emily,Polar Opposites,Modest Mouse,S
Emily,Trailer Trash,Modest Mouse,S
Emily,Bankrupt on Selling,Modest Mouse,S
Emily,Tenuousness,Andrew Bird,H
Emily,Manifest,Andrew Bird,H
Emily,I am the Changer,Cotton Jones,S
Emily,Fancy Shoes,The Walters ,S
Emily,My Jingi ,Sunset Rollercoaster,H
Emily,Upward Over the Mountain,Iron and Wine,S
Emily,Jezebel ,Iron and Wine,S
Emily,Tommy's Party ,Peach Put,S
Emily,Basically,STRFKR,S
Emily,O.T.L,Field Medic,S
Emily,Eastwick,Julia Jacklin,S
Emily,Beach Baby,Bon Iver,H
Emily,A Song for a lover Long Ago,Justin Vernon ,S
Emily,All The Things,Milk Carton Kids,S
Emily,Wash ,Bon Iver,S
Emily,Sea of Nothing,Drugdealer,S
Emily,In the Door,Guantanamo Bay Surf Club,S
Emily,Brown Town Song,Jarrad Wright,H
Kat,County Line,Cass McCombs,S
Kat,Drive Safe,Pueblo,H
Kat,Solid Silk,Stephen Malmus & The Jicks,H
Kat,Harmony Hall,Vampire Weekend ,H
Kat,Arcadian Driftwood,The Band,S
Kat,Manifest,Andrew Bird,H
Kat,Sisyphus,Andrew Bird,H
Kat,I am the Changer,Cotton Jones,S
Trevor,(Funny) Bone - 2018 Remaster,CHIC,H
Trevor,Keep It Comin',The Jones Girls,H
Trevor,Brazil,Geoff & Maria Muldaur,H
Trevor,Mother,Danzing,S
Trevor,I Don't Want to Die,Black Merda,S
Trevor,Lying,Black Merda,S
Trevor,Down By The River,Buddy Miles,S
Trevor,Blue Skies,Art Tatum,S
Trevor,Lonesome Lover,"Max Roach, Abbey Lincoln, Coleridge-Taylor Perkinson",S
Trevor,Sunday Morning,Margo Guryan,H
Trevor,Crystal Silence,Chick Corea,H
Brandon,The night has a thousand eyes,Bobby Vee,H
Brandon,Sure gonna miss her,Gary Lewis & The Playboys,S
Brandon,(Today I Met) The boy I'm gonna marry,Darlene Love,S
Brandon,Love will keep us together,Captain & Tennille,H
Brandon,These boots are made for walking,Nancy Sinatra,H
Brandon,Drummer Man,Nancy Sinatra,S
Brandon,"Woman, Woman",Gary Puckett & The union gap,S
Brandon,River Deep - mountain high,Ike & Tina Turner,H
Brandon,I saw her again,the Mama's and Papa's,H
Collin,Cruel Fog,Exit Group,S
Collin,Plastic Coffin,Exit Group,S
Collin,God,ARTHUR,H
Collin,Dog in the Yard,Joy Again,H
Collin,I'm too good,ARTHUR,H
Collin,Hint,Pardoner,S
Collin,Don't stop believing in me,Pardoner,S
Collin,Another Thing,Homeshake,H
Collin,Isolation,Ty Segall ,H
Collin,So,Alex G,S
Collin,Tired,Tomorrow Tulips,H
Collin,Visit Colonel ,Thee Oh Sees,H
Collin,Kill All Your Darlings,Michael Seyer,S
Collin,Banana Peel,The Garden,S
Collin,Call The Dogs Out,The Garden,H
Collin,Doom Generation,Surfcurse,S
Joe,Criss Cross,Thelonious Monk,H
Joe,Giant Steps,John Coltrane,H
Joe,Sweeper Soul,Super Mambo 69,H
Joe,Malala,The Yahoos,H
Joe,Fables of Faubus,Charles Mingus,S
Joe,Macintosh Plus,Floral Shoppe,S
Joe,Prove It,Television,H
Joe,Livin' Thing ,Electric Light Orchestra,H
Joe,I found out,John Lennon,S
Jeremy ,Love will tear us apart,Joy Division,S
Jeremy ,Only Love can break your heart,Neil Young,S
Jeremy ,Love My Way,The Psychedelic Furs,S
Jeremy ,Salt,(Sandy) Alex G,S
Jeremy ,Buddy,Willie Nelson,S
Jeremy ,Fade Into You,Mazzy Star,S
Jeremy ,Someone Great,LCD Soundsystem,S
Davis,Your Boyfriend,Radiator Hospital,S
Davis,Destroyed by Hippie Powers ,Carseat Headrest,S
Davis,"New Person, Same Old Mistakes",Tame Impala,H
Davis,Used 2 be A romantic,Field Medic,S
Davis,Kids ,Current Joys,H
Davis,L.S.D,Skeggs,H
Davis,Joe by the book,Buck Meek,H
Davis,Judge,(Sandy) Alex G,S
Davis,Cadmium ,Pinegrove,S
